# Col 1: Theta (degrees) 
#  Col 2: rho134_req
#  Col 3: rho25_req
5.6162e-03 7.8388e-06 3.9194e-04
7.0855e-03 7.5012e-06 3.7506e-04
8.9393e-03 7.0883e-06 3.5442e-04
1.1278e-02 6.5238e-06 3.2619e-04
1.4229e-02 5.8130e-06 2.9065e-04
1.7952e-02 5.0847e-06 2.5423e-04
2.2649e-02 4.3404e-06 2.1702e-04
2.8574e-02 3.6509e-06 1.8255e-04
3.6050e-02 3.0384e-06 1.5192e-04
4.5483e-02 2.5020e-06 1.2510e-04
5.7383e-02 2.0525e-06 1.0262e-04
7.2396e-02 1.6770e-06 8.3849e-05
9.1337e-02 1.3688e-06 6.8438e-05
1.1523e-01 1.1246e-06 5.6229e-05
1.4538e-01 9.2512e-07 4.6256e-05
1.8342e-01 7.6404e-07 3.8202e-05
2.3141e-01 6.3005e-07 3.1502e-05
2.9196e-01 5.2051e-07 2.6025e-05
3.6834e-01 4.2413e-07 2.1206e-05
4.6472e-01 3.4610e-07 1.7305e-05
5.8630e-01 2.7704e-07 1.3852e-05
7.3970e-01 2.1743e-07 1.0872e-05
9.3324e-01 1.6708e-07 8.3542e-06
1.1774e+00 1.2485e-07 6.2427e-06
1.4855e+00 9.0958e-08 4.5479e-06
1.8741e+00 6.4225e-08 3.2112e-06
2.3644e+00 4.3008e-08 2.1504e-06
2.9831e+00 2.6591e-08 1.3295e-06
3.7635e+00 1.4857e-08 7.4286e-07
4.7482e+00 7.5793e-09 3.7896e-07
